identifier,A_total_imports,A_dangerous_imports_count,A_has_os_import,A_has_subprocess_import,A_has_socket_import,A_functions_defined,A_functions_called_count,A_dangerous_calls_count,A_unique_functions,A_function_density,A_file_operations_count,A_network_operations_count,A_process_spawning_count,A_code_execution_count,A_has_api_abuse,A_dynamic_types_count,A_type_confusion_risk,A_has_dynamic_operations,A_tainted_flows_count,A_sink_locations_count,A_has_tainted_sink,A_cyclomatic_complexity,A_max_nesting_depth,A_lines_of_code,A_complexity_per_line,B_avg_string_entropy,B_max_string_entropy,B_high_entropy_count,B_base64_count,B_hex_string_count,B_unicode_escape_count,B_encoded_payload_count,B_staged_execution_count,B_dynamic_import_count,B_runtime_code_gen_count,B_time_check_count,B_trigger_condition_count,B_obfuscation_method_count,B_has_identifier_obfuscation,B_anti_debug_count,B_anti_vm_count,B_env_check_count,B_total_obfuscation_score,B_total_evasion_score,B_total_logic_bomb_score,C_total_api_calls,C_unique_api_calls,C_max_call_depth,C_api_sequence_score,C_suspicious_sequence_count,C_has_suspicious_sequence,C_control_flow_complexity,C_max_nesting_depth,C_matched_signature_count,C_max_signature_confidence,C_file_and_network,C_crypto_and_network,C_persistence_behavior,C_data_exfil_behavior,C_total_behavioral_risk,label,source,package_name
douctils,2,1,False,True,False,1,2,0,2,0.03333333333333333,0,0,0,0,False,0,0,False,0,0,False,1,0,30,0.03333333333333333,3.709061902209305,4.021928094887363,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,douctils
downrun,2,1,True,False,False,1,2,0,2,0.03125,0,0,0,0,False,0,0,False,0,0,False,2,1,32,0.0625,3.2081808767710718,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0,0,1,1,0,0.0,0,0,0,0,0,1,malicious,downrun
doxer,2,0,False,False,False,1,4,0,4,0.03225806451612903,0,0,0,0,False,0,0,False,0,0,False,2,1,31,0.06451612903225806,3.7264741182543757,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.0,0,0,1,1,1,0.4,0,0,0,0,20,1,malicious,doxer
dpp-client,2,0,False,False,False,1,3,0,3,0.03125,0,0,0,0,False,0,0,False,0,0,False,1,0,32,0.03125,3.197387101191277,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0.0,0,0,0,0,1,0.4,0,0,0,0,20,1,malicious,dpp-client
dpp-client1234,2,1,False,True,False,1,2,0,2,0.03333333333333333,0,0,0,0,False,0,0,False,0,0,False,1,0,30,0.03333333333333333,3.6979208714570944,4.021928094887363,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,dpp-client1234
dpp_client,2,2,False,True,True,1,1,0,1,0.03333333333333333,0,1,0,0,False,0,0,False,0,0,False,1,0,30,0.03333333333333333,3.4242011065708686,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,dpp_client
dpp_client1234,2,0,False,False,False,1,4,0,4,0.03225806451612903,0,0,0,0,False,0,0,False,0,0,False,2,1,31,0.06451612903225806,3.695485948727419,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.0,0,0,1,1,1,0.4,0,0,0,0,20,1,malicious,dpp_client1234
dpy-bot,2,1,True,False,False,1,2,0,2,0.03125,0,0,0,0,False,0,0,False,0,0,False,2,1,32,0.0625,3.2081808767710718,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0,0,1,1,0,0.0,0,0,0,0,0,1,malicious,dpy-bot
drawtime,2,0,False,False,False,1,4,0,4,0.03225806451612903,0,0,0,0,False,0,0,False,0,0,False,2,1,31,0.06451612903225806,3.7264741182543757,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.0,0,0,1,1,1,0.4,0,0,0,0,20,1,malicious,drawtime
drgn-tokenization,2,0,False,False,False,0,3,2,3,0.0,0,0,0,2,False,0,1,False,0,0,False,1,0,29,0.034482758620689655,4.105493867355523,5.135185083865586,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,2,0,0,3,3,3,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,drgn-tokenization
dscord-py,2,1,True,False,False,1,2,0,2,0.03125,0,0,0,0,False,0,0,False,0,0,False,2,1,32,0.0625,3.2081808767710718,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0,0,1,1,0,0.0,0,0,0,0,0,1,malicious,dscord-py
dscord-webhook,2,0,False,False,False,0,3,2,3,0.0,0,0,0,2,False,0,1,False,0,0,False,1,0,29,0.034482758620689655,4.062174053245773,5.135185083865586,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,2,0,0,3,3,3,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,dscord-webhook
dsicord-py,2,1,False,True,False,1,2,0,2,0.03333333333333333,0,0,0,0,False,0,0,False,0,0,False,1,0,30,0.03333333333333333,3.562278450378819,4.021928094887363,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,dsicord-py
dsicord-webhook,2,1,True,False,False,1,2,0,2,0.03125,0,0,0,0,False,0,0,False,0,0,False,2,1,32,0.0625,3.270276848111042,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0,0,1,1,0,0.0,0,0,0,0,0,1,malicious,dsicord-webhook
dsidelib,2,1,True,False,False,1,2,0,2,0.03125,0,0,0,0,False,0,0,False,0,0,False,2,1,32,0.0625,3.2081808767710718,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0,0,1,1,0,0.0,0,0,0,0,0,1,malicious,dsidelib
dsodelib,2,2,False,True,True,1,1,0,1,0.03333333333333333,0,1,0,0,False,0,0,False,0,0,False,1,0,30,0.03333333333333333,3.7264741182543757,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,dsodelib
duonet,2,1,True,False,False,1,2,0,2,0.03125,0,0,0,0,False,0,0,False,0,0,False,2,1,32,0.0625,3.2081808767710718,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0,0,1,1,0,0.0,0,0,0,0,0,1,malicious,duonet
dziplib,2,2,False,True,True,1,1,0,1,0.03333333333333333,0,1,0,0,False,0,0,False,0,0,False,1,0,30,0.03333333333333333,3.7264741182543757,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,dziplib
easyfuncsys,2,0,False,False,False,1,4,0,4,0.03225806451612903,0,0,0,0,False,0,0,False,0,0,False,2,1,31,0.06451612903225806,3.2859125274384064,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.0,0,0,1,1,1,0.4,0,0,0,0,20,1,malicious,easyfuncsys
easyinstall,2,0,False,False,False,0,3,2,3,0.0,0,0,0,2,False,0,1,False,0,0,False,1,0,29,0.034482758620689655,3.9252120917675715,5.135185083865586,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,2,0,0,3,3,3,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,easyinstall
easytimestamp,2,0,False,False,False,1,4,0,4,0.03225806451612903,0,0,0,0,False,0,0,False,0,0,False,2,1,31,0.06451612903225806,3.3288415335823496,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.0,0,0,1,1,1,0.4,0,0,0,0,20,1,malicious,easytimestamp
eautifulsoup,2,1,False,True,False,1,2,0,2,0.03333333333333333,0,0,0,0,False,0,0,False,0,0,False,1,0,30,0.03333333333333333,3.5789768955421954,4.021928094887363,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,eautifulsoup
eautifulsoup4,2,2,False,True,True,1,1,0,1,0.03333333333333333,0,1,0,0,False,0,0,False,0,0,False,1,0,30,0.03333333333333333,3.5305766296529852,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,eautifulsoup4
ebautifulsoup,2,1,False,True,False,1,2,0,2,0.03333333333333333,0,0,0,0,False,0,0,False,0,0,False,1,0,30,0.03333333333333333,3.6154662119198773,4.021928094887363,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,ebautifulsoup
ebautifulsoup4,3,1,True,False,False,1,4,0,3,0.027777777777777776,0,3,0,0,False,0,0,False,0,0,False,2,0,36,0.05555555555555555,3.6082873828431765,3.9873261452560076,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,3,1,20.0,2,1,1,1,0,0.0,0,0,0,0,20,1,malicious,ebautifulsoup4
ebsockets,2,0,False,False,False,1,4,0,4,0.03225806451612903,0,0,0,0,False,0,0,False,0,0,False,2,1,31,0.06451612903225806,3.7264741182543757,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.0,0,0,1,1,1,0.4,0,0,0,0,20,1,malicious,ebsockets
edintel,2,0,False,False,False,0,3,2,3,0.0,0,0,0,2,False,0,1,False,0,0,False,1,0,29,0.034482758620689655,4.4308296010599815,5.135185083865586,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,2,0,0,3,3,3,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,edintel
