A_total_imports,A_dangerous_imports_count,A_has_os_import,A_has_subprocess_import,A_has_socket_import,A_functions_defined,A_functions_called_count,A_dangerous_calls_count,A_unique_functions,A_function_density,A_file_operations_count,A_network_operations_count,A_process_spawning_count,A_code_execution_count,A_has_api_abuse,A_dynamic_types_count,A_type_confusion_risk,A_has_dynamic_operations,A_tainted_flows_count,A_sink_locations_count,A_has_tainted_sink,A_cyclomatic_complexity,A_max_nesting_depth,A_lines_of_code,A_complexity_per_line,B_avg_string_entropy,B_max_string_entropy,B_high_entropy_count,B_base64_count,B_hex_string_count,B_unicode_escape_count,B_encoded_payload_count,B_staged_execution_count,B_dynamic_import_count,B_runtime_code_gen_count,B_time_check_count,B_trigger_condition_count,B_obfuscation_method_count,B_has_identifier_obfuscation,B_anti_debug_count,B_anti_vm_count,B_env_check_count,B_total_obfuscation_score,B_total_evasion_score,B_total_logic_bomb_score,C_total_api_calls,C_unique_api_calls,C_max_call_depth,C_api_sequence_score,C_suspicious_sequence_count,C_has_suspicious_sequence,C_control_flow_complexity,C_max_nesting_depth,C_file_and_network,C_crypto_and_network,C_persistence_behavior,C_data_exfil_behavior,identifier,source,package_name,label
3,1,False,False,True,12,37,0,28,0.08888888888888889,0,3,0,0,False,0,0,False,0,0,False,13,2,135,0.0962962962962963,3.7327660852634295,3.967861757701885,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,37,33,2,60.0,6,1,12,2,1,0,0,1,httprequesthub-2.31.4_server.py,malicious,httprequesthub-2.31.4,1
16,1,True,False,False,28,137,0,69,0.03365384615384615,1,10,0,0,True,6,0,True,0,0,False,50,3,832,0.06009615384615385,3.5441636920207933,4.01158543183743,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,2,137,90,3,10.0,1,1,49,3,1,0,0,1,httprequesthub-2.31.4_sessions.py,malicious,httprequesthub-2.31.4,1
13,2,True,True,False,6,33,1,22,0.03592814371257485,6,1,6,1,True,0,1,False,0,0,False,5,2,167,0.029940119760479042,3.680879325437081,5.379428604492573,1,1,0,0,0,0,0,1,0,0,4,1,0,0,1,5,1,0,33,25,4,0.0,0,0,4,2,1,0,1,0,httprequesthub-2.31.4_setup.py,malicious,httprequesthub-2.31.4,1
1,0,False,False,False,2,11,0,9,0.015503875968992248,0,0,0,0,False,2,0,True,0,0,False,4,3,129,0.031007751937984496,3.297674901622347,3.961320140211008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,9,2,0.0,0,0,3,3,0,0,0,0,httprequesthub-2.31.4_status_codes.py,malicious,httprequesthub-2.31.4,1
2,0,False,False,False,14,23,0,14,0.14,0,2,0,0,False,1,0,True,0,0,False,3,1,100,0.03,3.602914569643857,4.120750542731343,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,16,3,0.0,0,0,2,1,0,0,0,0,httprequesthub-2.31.4_structures.py,malicious,httprequesthub-2.31.4,1
2,0,False,False,False,4,6,0,3,0.14285714285714285,0,0,0,0,False,0,0,False,0,0,False,1,1,28,0.03571428571428571,3.650038422760558,4.202393391956838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,0.0,0,0,0,1,0,0,0,0,httprequesthub-2.31.4_test_help.py,malicious,httprequesthub-2.31.4,1
2,0,False,False,False,3,3,0,3,0.13043478260869565,0,0,0,0,False,0,0,False,0,0,False,1,0,23,0.043478260869565216,3.572431251322119,3.572431251322119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,1,0.0,0,0,0,0,0,0,0,0,httprequesthub-2.31.4_test_hooks.py,malicious,httprequesthub-2.31.4,1
6,0,False,False,False,22,122,0,25,0.05128205128205128,0,29,0,0,True,2,0,True,0,0,False,4,3,429,0.009324009324009324,3.736956432484527,4.654770074727208,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,0,0,122,30,2,200.0,20,1,3,3,1,0,0,1,httprequesthub-2.31.4_test_lowlevel.py,malicious,httprequesthub-2.31.4,1
1,0,False,False,False,3,0,0,0,0.21428571428571427,0,0,0,0,False,0,0,False,0,0,False,1,0,14,0.07142857142857142,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,httprequesthub-2.31.4_test_packages.py,malicious,httprequesthub-2.31.4,1
29,2,True,False,False,259,1078,0,122,0.09256611865618299,20,151,0,0,True,25,0,True,0,0,False,36,3,2798,0.012866333095067906,3.4521954308239624,4.679855984713736,8,1,0,0,0,0,0,0,0,0,14,1,0,0,0,15,0,0,1078,174,4,290.0,29,1,35,3,1,0,0,1,httprequesthub-2.31.4_test_requests.py,malicious,httprequesthub-2.31.4,1
2,0,False,False,False,12,14,0,9,0.1518987341772152,0,1,0,0,False,0,0,False,0,0,False,1,0,79,0.012658227848101266,3.39937963620226,3.9898980954642873,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,9,2,0.0,0,0,0,0,0,0,0,0,httprequesthub-2.31.4_test_structures.py,malicious,httprequesthub-2.31.4,1
6,1,False,False,True,12,60,0,17,0.07228915662650602,0,22,0,0,True,0,0,False,0,0,False,2,2,166,0.012048192771084338,3.4141084220757345,4.022641704963307,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60,24,1,10.0,1,1,1,2,1,0,0,1,httprequesthub-2.31.4_test_testserver.py,malicious,httprequesthub-2.31.4,1
17,1,True,False,False,71,193,0,73,0.07659115426105717,10,1,0,0,True,9,0,True,0,0,False,9,3,927,0.009708737864077669,3.5163710715197136,4.745172816906116,6,0,0,0,0,0,0,0,0,1,3,1,0,0,0,3,0,1,191,79,3,0.0,0,0,8,3,0,0,0,0,httprequesthub-2.31.4_test_utils.py,malicious,httprequesthub-2.31.4,1
2,1,True,False,False,1,4,0,4,0.05555555555555555,0,0,0,0,False,0,0,False,0,0,False,3,2,18,0.16666666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,1,0.0,0,0,2,2,0,0,0,0,httprequesthub-2.31.4_utils.py,malicious,httprequesthub-2.31.4,1
2,0,False,False,False,2,8,4,4,0.0392156862745098,0,0,0,4,False,2,0,True,0,0,False,3,1,51,0.058823529411764705,3.157347698550092,3.1751231351134614,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,2,0,0,8,4,1,0.0,0,0,2,1,0,0,0,0,httprequesthub-2.31.4__internal_utils.py,malicious,httprequesthub-2.31.4,1
0,0,False,False,False,0,0,0,0,0.0,0,0,0,0,False,0,0,False,0,0,False,1,0,15,0.06666666666666667,3.3689317813502395,4.03914867190307,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,httprequesthub-2.31.4___version__.py,malicious,httprequesthub-2.31.4,1
6,2,True,False,True,1,7,0,7,0.037037037037037035,0,1,1,0,False,0,0,False,0,0,False,1,0,27,0.037037037037037035,3.814069939955887,4.781700535240758,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,7,2,0.0,0,0,0,0,0,0,0,0,IncapError-7.0.0_setup.py,malicious,IncapError-7.0.0,1
4,2,True,True,False,2,7,0,7,0.05714285714285714,1,2,1,0,False,0,0,False,0,0,False,5,2,35,0.14285714285714285,3.32418642698205,4.36792877308952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,0.0,0,0,4,3,0,0,0,0,juphelper-0.1.6_helper.py,malicious,juphelper-0.1.6,1
1,0,False,False,False,0,2,0,2,0.0,0,0,0,0,False,0,0,False,0,0,False,1,0,16,0.0625,3.3709771684320904,3.4187229080665604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0,0,0,0,0,0,0,0,juphelper-0.1.6_setup.py,malicious,juphelper-0.1.6,1
1,0,False,False,False,0,0,0,0,0.0,0,0,0,0,False,0,0,False,0,0,False,1,0,4,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,juphelper-0.1.6___init__.py,malicious,juphelper-0.1.6,1
4,2,True,True,False,2,7,0,7,0.06060606060606061,1,2,1,0,False,0,0,False,0,0,False,5,2,33,0.15151515151515152,3.328550707659273,4.36792877308952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,0.0,0,0,4,3,0,0,0,0,jupiter-helper-0.1_helper.py,malicious,jupiter-helper-0.1,1
1,0,False,False,False,0,2,0,2,0.0,0,0,0,0,False,0,0,False,0,0,False,1,0,16,0.0625,3.3426102032340315,3.5225933661442608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0,0,0,0,0,0,0,0,jupiter-helper-0.1_setup.py,malicious,jupiter-helper-0.1,1
1,0,False,False,False,0,0,0,0,0.0,0,0,0,0,False,0,0,False,0,0,False,1,0,2,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,jupiter-helper-0.1___init__.py,malicious,jupiter-helper-0.1,1
2,0,False,False,False,20,52,0,9,0.16393442622950818,0,0,0,0,False,0,0,False,0,0,False,3,2,122,0.02459016393442623,3.5181103204411075,4.129947184477476,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,12,3,0.0,0,0,2,2,0,0,0,0,lr_utils_lib-1.0.0_linear_regression.py,malicious,lr,1
11,2,True,True,False,10,41,0,28,0.05434782608695652,3,0,3,0,True,0,0,False,0,0,False,7,3,184,0.03804347826086957,3.8285498265715385,4.902114648336088,3,0,0,0,0,1,0,0,0,1,7,1,0,0,0,8,0,1,39,29,4,0.0,0,0,6,4,0,0,1,0,lr_utils_lib-1.0.0_setup.py,malicious,lr,1
1,0,False,False,False,0,4,0,4,0.0,2,0,0,0,False,0,0,False,0,0,False,1,0,25,0.04,3.8052684006686395,4.134183719779188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0.0,0,0,0,0,0,0,0,0,numberpy-0.1.0_setup.py,malicious,numberpy-0.1.0,1
1,0,False,False,False,0,0,0,0,0.0,0,0,0,0,False,0,0,False,0,0,False,1,0,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,numberpy-0.1.0___init__.py,malicious,numberpy-0.1.0,1
1,0,False,False,False,0,2,0,2,0.0,0,0,0,0,False,0,0,False,0,0,False,1,0,22,0.045454545454545456,3.744818196003383,4.206198332810095,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0.0,0,0,0,0,0,0,0,0,pipsqlite3liberyV2-1.1.0_setup.py,malicious,pipsqlite3liberyV2-1.1.0,1
3,2,True,True,False,0,11,0,11,0.0,2,0,2,0,False,0,0,False,0,0,False,4,2,32,0.125,4.7050492789357,5.999704009758339,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,11,11,1,0.0,0,0,3,3,0,0,1,0,pipsqlite3liberyV2-1.1.0___init__.py,malicious,pipsqlite3liberyV2-1.1.0,1
3,1,True,False,False,7,36,0,18,0.09333333333333334,2,3,0,0,False,0,0,False,0,0,False,14,5,75,0.18666666666666668,4.163582434938618,4.906941782652658,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,21,2,40.0,4,1,13,6,1,0,1,1,proxyalhttp-0.1_dsgsfdgdfg.py,malicious,proxyalhttp-0.1,1
1,0,False,False,False,0,2,0,2,0.0,0,0,0,0,False,0,0,False,0,0,False,1,0,18,0.05555555555555555,3.6831776861426517,3.9553113166340124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0,0,0,0,0,0,0,0,proxyalhttp-0.1_setup.py,malicious,proxyalhttp-0.1,1
1,0,False,False,False,0,0,0,0,0.0,0,0,0,0,False,0,0,False,0,0,False,1,0,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,proxyalhttp-0.1___init__.py,malicious,proxyalhttp-0.1,1
